BEA Detail,Year,Country,Import Quantity,Unit,Source,BEA Summary,CountryCode,Region,cntry_cntrb_to_national_detail,cntry_cntrb_to_region_detail,cntry_cntrb_to_national_summary,cntry_cntrb_to_region_summary
1111A0,2019,Saudi Arabia,0.0,USD,Census,111CA,WM,ROW,0.0,0.0,0.0,0.0
1111B0,2019,Saudi Arabia,0.0,USD,Census,111CA,WM,ROW,0.0,0.0,0.0,0.0
111200,2019,Saudi Arabia,4169.0,USD,Census,111CA,WM,ROW,4.011364032849826e-07,2.949756373048054e-06,8.334223575111349e-08,2.246307056798873e-07
111300,2019,Saudi Arabia,2798622.0,USD,Census,111CA,WM,ROW,0.0001201043341917349,0.00022290988619546052,5.59470891106387e-05,0.0001507931002137821
111400,2019,Saudi Arabia,0.0,USD,Census,111CA,WM,ROW,0.0,0.0,0.0,0.0
111900,2019,Saudi Arabia,0.0,USD,Census,111CA,WM,ROW,0.0,0.0,0.0,0.0
112120,2019,Saudi Arabia,0.0,USD,Census,111CA,WM,ROW,0.0,0.0,0.0,0.0
1121A0,2019,Saudi Arabia,0.0,USD,Census,111CA,WM,ROW,0.0,0.0,0.0,0.0
112300,2019,Saudi Arabia,0.0,USD,Census,111CA,WM,ROW,0.0,0.008403361344537815,0.0,0.0
112A00,2019,Saudi Arabia,196904.0,USD,Census,111CA,WM,ROW,3.8182241138460865e-05,0.00010738897229120563,3.9362963752308105e-06,1.060942299620833e-05
113000,2019,Saudi Arabia,0.0,USD,Census,113FF,WM,ROW,0.0,0.0,0.0,0.0
114000,2019,Saudi Arabia,6986271.0,USD,Census,113FF,WM,ROW,0.00041737332722123586,0.002348251361699604,0.00035611418484832186,0.0021451823885604957
211000,2019,Saudi Arabia,11494451793.0,USD,Census,211,WM,ROW,0.08101753043862613,0.2408629667170871,0.08101753043862613,0.2408629667170871
212100,2019,Saudi Arabia,0.0,USD,Census,212,WM,ROW,0.0,0.0,0.0,0.0
212230,2019,Saudi Arabia,0.0,USD,Census,212,WM,ROW,0.0,0.0,0.0,0.0
2122A0,2019,Saudi Arabia,0.0,USD,Census,212,WM,ROW,0.0,0.0,0.0,0.0
212310,2019,Saudi Arabia,23531.0,USD,Census,212,WM,ROW,6.148126229656273e-05,0.0003428870856550329,3.881127068718413e-06,8.675376267615023e-06
2123A0,2019,Saudi Arabia,9821.0,USD,Census,212,WM,ROW,3.933133022151132e-06,1.5074023022998482e-05,1.6198439905606874e-06,3.6207925852809966e-06
311111,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
311119,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
311210,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
311221,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
311224,2019,Saudi Arabia,67061.0,USD,Census,311FT,WM,ROW,9.466924660675516e-06,0.00020362720597569468,6.749163123385338e-07,6.450049345421502e-06
311225,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
311230,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
311300,2019,Saudi Arabia,158740.0,USD,Census,311FT,WM,ROW,1.893659892736738e-05,9.670919058033622e-05,1.5975934659581407e-06,1.5267902851019357e-05
311410,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
311420,2019,Saudi Arabia,185367.0,USD,Census,311FT,WM,ROW,2.4594185318034585e-05,0.00011563280015105555,1.865573314881332e-06,1.782893629699449e-05
311513,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
311514,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
31151A,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
311520,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
311615,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
31161A,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
311700,2019,Saudi Arabia,0.0,USD,Census,311FT,WM,ROW,0.0,0.0,0.0,0.0
